region, enduse, sector, fueltype, fuel
S12000023, is_other, wearing_appeal, 4, 0.0
S12000023, is_other, wearing_appeal, 5, 0.0
S12000023, is_other, wearing_appeal, 6, 0.0
S12000023, is_other, wearing_appeal, 7, 0.0
S12000023, is_space_heating, wearing_appeal, 0, 33.46511860903944
S12000023, is_space_heating, wearing_appeal, 1, 351.3837453949142
S12000023, is_space_heating, wearing_appeal, 2, 83.66279652259861
S12000023, is_space_heating, wearing_appeal, 3, 44.62015814538593
S12000023, is_space_heating, wearing_appeal, 4, 0.0
S12000023, is_space_heating, wearing_appeal, 5, 0.0
S12000023, is_space_heating, wearing_appeal, 6, 0.0
S12000023, is_space_heating, wearing_appeal, 7, 0.0
S12000023, is_compressed_air, wearing_appeal, 0, 0.0
S12000023, is_compressed_air, wearing_appeal, 1, 0.0
S12000023, is_compressed_air, wearing_appeal, 2, 0.0
S12000023, is_compressed_air, wearing_appeal, 3, 0.0
S12000023, is_compressed_air, wearing_appeal, 4, 0.0
S12000023, is_compressed_air, wearing_appeal, 5, 0.0
S12000023, is_compressed_air, wearing_appeal, 6, 0.0
S12000023, is_compressed_air, wearing_appeal, 7, 0.0
S12000023, is_drying_separation, wearing_appeal, 0, 0.0
S12000023, is_drying_separation, wearing_appeal, 1, 89.24031629077186
S12000023, is_drying_separation, wearing_appeal, 2, 22.310079072692965
S12000023, is_drying_separation, wearing_appeal, 3, 11.155039536346482
S12000023, is_drying_separation, wearing_appeal, 4, 0.0
S12000023, is_drying_separation, wearing_appeal, 5, 0.0
S12000023, is_drying_separation, wearing_appeal, 6, 0.0
S12000023, is_drying_separation, wearing_appeal, 7, 0.0
S12000023, is_motors, motor_vehicles, 0, 0.0
S12000023, is_motors, motor_vehicles, 1, 0.0
S12000023, is_motors, motor_vehicles, 2, 44.62015814538593
S12000023, is_motors, motor_vehicles, 3, 0.0
S12000023, is_motors, motor_vehicles, 4, 0.0
S12000023, is_motors, motor_vehicles, 5, 0.0
S12000023, is_motors, motor_vehicles, 6, 0.0
S12000023, is_motors, motor_vehicles, 7, 0.0
S12000023, is_lighting, motor_vehicles, 0, 0.0
S12000023, is_lighting, motor_vehicles, 1, 0.0
S12000023, is_lighting, motor_vehicles, 2, 290.03102794500853
S12000023, is_lighting, motor_vehicles, 3, 0.0
S12000023, is_lighting, motor_vehicles, 4, 0.0
S12000023, is_lighting, motor_vehicles, 5, 0.0
S12000023, is_lighting, motor_vehicles, 6, 0.0
S12000023, is_lighting, motor_vehicles, 7, 0.0
S12000023, is_high_temp_process, motor_vehicles, 0, 11.155039536346482
S12000023, is_high_temp_process, motor_vehicles, 1, 78.08527675442538
S12000023, is_high_temp_process, motor_vehicles, 2, 44.62015814538593
S12000023, is_high_temp_process, motor_vehicles, 3, 33.46511860903944
S12000023, is_high_temp_process, motor_vehicles, 4, 0.0
S12000023, is_high_temp_process, motor_vehicles, 5, 0.0
S12000023, is_high_temp_process, motor_vehicles, 6, 0.0
S12000023, is_high_temp_process, motor_vehicles, 7, 0.0
S12000023, is_refrigeration, motor_vehicles, 0, 0.0
S12000023, is_refrigeration, motor_vehicles, 1, 0.0
S12000023, is_refrigeration, motor_vehicles, 2, 0.0
