Scotland_W Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1932    5.4    3.5    4.1    4.9    8.7   12.5   13.5   13.5   10.4    7.0    5.0    4.7    4.82   5.91  13.21   7.47    7.80
1933    1.8    3.0    5.7    7.3    9.7   13.5   15.0   14.1   12.6    8.5    4.5    2.6    3.19   7.59  14.18   8.51    8.22
1934    4.4    4.6    3.4    5.6    8.7   12.6   15.2   12.7   11.8    8.1    4.9    6.2    3.86   5.90  13.49   8.25    8.20
1935    3.7    3.8    5.5    6.2    9.0   12.1   13.7   13.7   11.0    7.6    4.9    1.4    4.59   6.91  13.19   7.85    7.75
1936    1.7    1.8    5.3    5.1    9.8   12.5   13.2   13.7   12.2    8.3    4.5    4.3    1.63   6.77  13.13   8.32    7.72
1937    4.0    3.0    1.8    7.3   10.0   11.4   13.2   13.9   11.0    8.2    4.6    1.4    3.78   6.38  12.84   7.94    7.52
1938    4.0    3.8    7.2    6.6    8.5   11.2   12.5   13.5   11.9    8.8    7.2    3.4    3.05   7.46  12.41   9.28    8.24
1939    2.1    4.6    4.8    6.5    9.8   12.3   12.9   14.2   12.0    6.8    6.5    2.8    3.34   7.05  13.14   8.43    7.96
1940   -1.1    1.8    4.0    6.2   10.7   14.2   12.5   12.7   10.1    8.1    5.4    3.3    1.15   6.97  13.15   7.86    7.34
1941   -0.8    1.7    3.1    4.8    8.2   12.4   13.8   12.4   13.1    8.8    5.1    4.8    1.39   5.39  12.87   9.02    7.32
1942    1.2    0.4    3.3    7.2    8.8   11.2   12.6   13.5   11.0    8.5    4.5    5.4    2.21   6.42  12.43   7.99    7.33
1943    3.3    5.1    5.6    7.9    9.1   11.9   13.4   12.5   10.8    9.3    5.5    3.7    4.60   7.53  12.63   8.53    8.20
1944    5.0    2.9    4.4    7.9    8.9   11.4   14.1   14.2   10.1    7.6    4.1    3.5    3.88   7.07  13.22   7.27    7.85
1945   -0.5    5.2    6.8    7.5    9.3   11.8   14.1   13.9   12.5    9.9    6.6    4.2    2.66   7.89  13.29   9.67    8.47
1946    2.5    4.3    4.3    7.5    9.6   11.0   13.1   12.1   11.8    7.9    6.2    2.5    3.67   7.16  12.10   8.63    7.77
1947    1.9   -1.9    1.0    6.0   10.4   12.3   13.8   16.2   11.8    9.5    5.3    4.0    0.94   5.80  14.12   8.88    7.60
1948    2.6    3.7    6.7    7.1    9.3   11.5   13.4   12.6   11.3    8.4    6.7    4.7    3.43   7.71  12.53   8.78    8.18
1949    4.4    4.7    4.3    7.5    9.2   12.8   14.1   14.0   13.3    9.9    5.8    4.3    4.60   6.99  13.65   9.68    8.71
1950    3.9    2.8    5.9    5.3    9.7   13.0   13.4   13.1   10.5    8.0    3.8    0.4    3.68   6.96  13.17   7.44    7.50
1951    2.4    1.9    2.5    4.6    8.3   11.6   13.3   12.5   11.8    9.2    6.8    4.4    1.55   5.12  12.49   9.26    7.47
1952    0.7    2.7    5.1    7.7   10.7   11.0   13.6   13.1    9.2    7.3    3.0    2.6    2.57   7.83  12.57   6.49    7.23
1953    3.6    3.8    4.8    5.2   10.6   13.0   13.0   13.3   12.1    8.9    7.3    5.6    3.32   6.91  13.08   9.41    8.46
1954    2.6    1.4    4.0    6.4    9.8   11.4   11.7   12.3    9.9    9.1    5.2    5.2    3.25   6.73  11.80   8.07    7.45
1955    1.5    0.0    2.4    7.7    8.0   11.5   15.2   15.2   12.2    7.3    6.7    3.7    2.33   6.00  13.98   8.74    7.66
1956    2.1    0.8    5.1    5.7    9.7   10.9   13.2   10.8   12.0    8.2    5.6    5.4    2.24   6.82  11.66   8.61    7.48
1957    4.0    2.8    7.1    7.1    8.7   12.3   13.6   13.2   10.0    8.8    5.7    4.0    4.09   7.65  13.03   8.15    8.14
1958    2.1    2.4    2.3    6.0    8.2   11.5   13.7   13.3   13.2    9.3    5.9    3.1    2.83   5.47  12.85   9.48    7.60
1959    0.3    3.7    5.7    7.0   11.2   12.3   13.7   14.4   12.3   10.9    6.1    4.4    2.32   7.99  13.49   9.75    8.52
1960    2.6    1.8    4.9    7.7   10.9   13.6   13.0   13.1   10.9    8.9    5.3    2.3    2.94   7.82  13.23   8.39    7.93
1961    2.3    5.2    7.0    7.5    9.2   11.4   12.1   12.4   12.2    8.9    4.8    1.3    3.19   7.86  12.00   8.64    7.86
1962    3.3    3.6    1.6    6.0    8.5   11.3   12.1   11.8   10.4    9.3    4.5    3.0    2.69   5.35  11.75   8.06    7.13
1963   -0.7   -0.9    4.5    6.4    8.2   12.5   12.5   11.9   10.8    9.0    5.4    2.8    0.51   6.35  12.31   8.40    6.91
1964    4.0    3.5    3.4    7.0   10.5   11.3   12.8   12.5   11.5    7.8    5.9    2.6    3.44   6.97  12.19   8.38    7.74
1965    1.9    2.6    3.4    6.3    9.2   12.0   11.2   12.2   10.4    9.1    2.9    2.7    2.36   6.28  11.80   7.50    7.01
1966    2.1    2.7    5.3    4.4    8.9   12.6   12.6   12.0   11.9    7.7    3.9    3.4    2.47   6.22  12.39   7.82    7.31
1967    3.5    4.1    4.6    6.2    7.8   12.0   12.7   13.0   11.4    8.0    4.9    3.7    3.64   6.20  12.55   8.08    7.66
1968    3.3    0.7    4.3    6.3    7.5   12.4   12.5   13.1   11.5   10.2    4.9    2.6    2.60   6.05  12.64   8.85    7.45
1969    3.6   -0.1    1.9    5.6    8.7   12.0   13.5   14.1   11.6   11.2    2.8    2.7    2.12   5.38  13.21   8.58    7.36
1970    2.6    1.0    2.7    4.7   10.3   13.9   11.7   13.8   11.6    8.7    5.3    3.7    2.11   5.90  13.12   8.53    7.53
1971    3.8    4.2    4.2    6.5    9.6   10.4   13.8   13.0   12.4    9.7    5.1    6.2    3.90   6.76  12.38   9.08    8.26
1972    2.9    3.1    4.7    6.7    8.8    9.6   13.2   12.2   10.0    9.2    4.4    4.8    4.09   6.75  11.68   7.87    7.49
1973    3.7    2.9    5.1    5.3    8.8   12.1   13.4   13.4   11.5    7.8    4.4    3.5    3.83   6.41  12.98   7.90    7.70
1974    4.6    4.2    4.2    7.0    9.2   11.4   12.0   12.7    9.6    6.4    4.8    5.6    4.10   6.80  12.05   6.91    7.67
1975    4.5    3.8    3.4    6.5    7.9   12.2   14.1   15.5   10.4    9.0    5.1    4.9    4.68   5.93  13.93   8.14    8.13
1976    4.3    3.8    3.5    6.8    9.2   13.1   15.1   14.7   11.2    8.6    5.0    1.0    4.34   6.48  14.32   8.26    8.03
1977    1.5    2.5    5.0    5.3    8.6   10.9   14.0   13.1   10.5   10.2    4.0    4.7    1.64   6.32  12.67   8.27    7.56
1978    1.8    1.0    4.6    5.1   10.4   11.5   12.2   12.8   11.5   10.3    6.7    2.8    2.54   6.74  12.18   9.53    7.61
1979   -0.4    0.5    2.3    5.4    7.1   11.9   12.7   12.1   10.7    9.6    5.0    3.6    0.99   4.95  12.24   8.42    6.75
1980    1.6    3.9    2.8    7.4   10.0   11.5   12.5   13.1   12.1    7.1    5.1    4.4    3.05   6.76  12.34   8.09    7.64
1981    3.6    2.6    5.1    6.5    9.8   11.0   12.6   13.6   12.0    5.6    6.1   -0.2    3.58   7.14  12.45   7.85    7.38
1982    2.1    4.1    4.4    7.3    9.3   12.5   14.2   13.1   11.2    8.6    5.5    3.1    1.94   7.03  13.28   8.45    7.99
1983    4.7    1.5    5.0    4.8    8.3   11.6   15.7   14.8   10.8    8.4    6.3    5.2    3.18   6.06  14.05   8.47    8.14
1984    1.4    3.2    3.6    7.2    9.2   12.2   14.3   14.6   10.7    8.7    6.0    4.7    3.26   6.63  13.73   8.48    7.99
1985    0.4    2.4    3.3    6.4    9.1   10.5   13.0   11.9   11.4    9.3    2.5    4.4    2.51   6.25  11.81   7.75    7.08
1986    1.9   -0.6    3.7    4.2    8.7   12.3   12.6   11.0    9.7    8.8    6.1    4.0    2.02   5.55  11.96   8.21    6.92
1987    1.0    2.7    2.8    7.7    8.5   10.2   13.6   12.7   10.9    7.3    5.5    4.5    2.55   6.35  12.18   7.87    7.30
1988    3.3    3.5    4.2    6.6    9.8   13.0   12.4   12.8   11.0    8.6    5.3    6.5    3.79   6.87  12.70   8.29    8.09
1989    6.1    4.4    4.7    5.0   10.1   11.7   15.1   13.1   11.1    9.5    5.3    2.6    5.69   6.62  13.33   8.65    8.26
1990    4.9    4.7    6.4    6.5   10.6   11.5   13.8   14.0   10.4    9.3    5.0    3.5    4.04   7.81  13.11   8.25    8.41
1991    2.1    1.5    5.8    6.3    9.6   10.1   15.0   14.3   11.7    8.3    5.1    4.7    2.43   7.27  13.17   8.35    7.93
1992    3.7    4.6    5.3    6.5   11.1   13.7   13.0   12.1   10.5    5.7    5.1    3.1    4.33   7.64  12.92   7.09    7.87
1993    4.0    5.1    4.9    7.3    9.1   12.3   12.1   11.8   10.4    6.3    3.7    2.6    4.03   7.09  12.07   6.81    7.48
1994    3.1    1.7    4.4    5.8    8.6   11.0   14.0   12.6   10.4    8.3    8.2    4.7    2.50   6.26  12.57   8.97    7.78
1995    2.7    3.7    3.0    6.8    9.2   12.4   14.9   16.0   11.4   10.6    6.5    1.2    3.70   6.31  14.49   9.50    8.23
1996    4.1    1.8    3.3    6.7    7.3   11.6   13.1   14.0   12.0    9.4    3.9    2.5    2.38   5.75  12.90   8.44    7.48
1997    2.6    4.3    6.2    7.5    9.4   11.6   14.2   15.5   11.3    8.5    7.1    4.8    3.07   7.69  13.82   8.98    8.61
1998    3.8    6.7    5.8    5.7   10.4   11.3   12.8   13.1   12.4    7.8    5.1    4.7    5.03   7.32  12.37   8.41    8.29
1999    3.6    3.6    5.2    7.5   10.4   11.2   14.4   13.4   12.9    9.1    6.2    2.7    3.97   7.70  13.04   9.39    8.38
2000    4.1    4.2    6.1    5.9   10.1   11.6   13.4   13.9   12.3    8.3    5.0    3.8    3.68   7.40  12.95   8.51    8.24
2001    2.1    2.7    3.2    5.9   10.9   11.3   13.6   13.5   11.4   11.3    6.7    3.0    2.87   6.64  12.81   9.82    7.99
2002    4.9    4.6    5.7    7.4    9.9   12.2   12.9   14.5   12.2    7.4    6.8    3.9    4.18   7.66  13.18   8.77    8.55
2003    3.2    3.1    5.9    8.5    9.6   13.2   15.1   14.8   11.9    7.4    7.1    3.9    3.40   8.02  14.39   8.79    8.68
2004    4.1    3.7    5.1    7.8   10.4   12.6   13.2   15.1   12.3    8.2    6.8    5.0    3.93   7.79  13.67   9.09    8.72
2005    4.9    3.6    6.1    7.2    8.9   13.0   14.0   13.5   12.6   10.4    5.2    4.1    4.53   7.40  13.50   9.40    8.65
2006    3.7    3.7    3.3    6.3    9.6   13.1   15.9   13.7   13.6   10.7    6.7    5.2    3.82   6.42  14.26  10.35    8.83
2007    5.3    4.6    5.6    9.3    9.6   12.9   13.2   13.2   11.3    9.9    6.8    4.1    5.06   8.15  13.11   9.33    8.84
2008    4.3    4.7    4.4    6.5   11.8   11.8   14.5   14.0   11.5    7.8    5.5    2.8    4.40   7.55  13.45   8.27    8.31
2009    3.1    3.5    5.4    8.3    9.8   13.1   14.3   13.8   12.2    9.6    6.2    1.2    3.10   7.82  13.75   9.35    8.40
2010    0.7    1.1    4.3    7.2    9.1   13.5   13.8   13.0   12.1    8.7    3.5   -1.2    0.98   6.87  13.45   8.12    7.19
2011    2.5    4.4    4.9    9.6    9.8   11.3   13.3   12.8   12.3   10.2    8.2    4.2    1.81   8.06  12.47  10.25    8.64
2012    4.0    4.7    7.5    5.8    9.7   11.4   12.9   14.1   10.9    6.9    5.3    3.3    4.31   7.68  12.84   7.69    8.06
2013    3.5    2.7    1.9    5.5    8.9   12.1   15.8   14.0   11.7   10.2    4.7    5.9    3.16   5.40  13.99   8.88    8.10
2014    4.2    4.4    5.8    8.6   10.4   13.4   14.9   12.8   13.0    9.8    7.0    4.0    4.84   8.28  13.69   9.92    9.05
2015    3.2    3.3    4.8    6.6    8.2   11.2   12.6   13.2   11.2    9.2    7.1    6.3    3.47   6.51  12.38   9.16    8.10
2016    4.0    3.0    5.0    5.8   10.6   13.3   13.5   13.9   13.2    9.1    3.9    6.2    4.48   7.15  13.58   8.74    8.49
2017    4.0    4.7                                                                          4.97
