Scotland_N Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1973    3.5    1.9    4.9    4.0    7.8   11.0   12.2   12.6   10.3    6.8    3.7    2.7    3.19   5.58  11.95   6.92    6.82
1974    4.0    3.4    3.9    6.6    8.5   10.3   11.1   12.0    8.9    5.9    4.3    4.4    3.35   6.35  11.14   6.34    6.96
1975    3.0    3.2    2.5    5.2    6.8   10.8   12.7   14.3    9.4    8.6    4.7    4.7    3.53   4.83  12.63   7.57    7.19
1976    2.8    3.0    3.2    5.9    8.5   12.1   14.1   13.7   10.0    7.8    4.5    0.4    3.51   5.85  13.32   7.44    7.18
1977    1.2    1.4    4.5    3.9    7.8    9.3   12.4   12.0    9.3    9.3    3.3    3.9    0.99   5.39  11.27   7.29    6.56
1978    1.0    0.0    3.8    4.2    9.5   10.5   11.0   11.8   10.3    8.8    5.3    2.5    1.70   5.86  11.11   8.12    6.60
1979   -0.9   -0.1    1.3    4.7    6.3   11.0   11.6   11.0    9.9    8.8    3.9    2.7    0.51   4.10  11.21   7.53    5.88
1980    1.4    3.1    2.3    6.5    8.9   10.9   11.6   12.4   11.1    6.1    4.0    3.6    2.41   5.88  11.64   7.07    6.84
1981    2.5    2.3    3.8    5.4    9.2    9.9   11.7   12.7   11.1    4.7    4.7   -0.5    2.82   6.17  11.45   6.81    6.49
1982    1.7    3.6    3.8    6.3    8.5   11.4   13.2   12.2   10.0    7.9    4.5    2.3    1.55   6.19  12.26   7.49    7.14
1983    3.6    0.9    4.4    3.7    7.3   10.4   14.2   13.7    9.6    7.5    5.7    4.3    2.33   5.16  12.77   7.59    7.15
1984   -0.2    3.2    2.8    6.5    8.0   11.1   13.2   13.6    9.4    7.6    5.3    4.1    2.40   5.77  12.63   7.42    7.06
1985    0.2    2.1    2.5    5.2    7.9    9.6   12.3   11.2    9.9    8.6    1.7    3.0    2.16   5.21  11.04   6.74    6.21
1986    1.2   -1.1    3.6    3.4    8.1   11.4   11.8   10.1    9.0    8.1    5.1    2.9    1.10   5.05  11.09   7.39    6.17
1987    0.9    2.2    1.9    7.0    7.4    9.0   12.3   11.8   10.0    6.3    4.7    3.6    1.96   5.43  11.06   7.00    6.45
1988    2.2    2.7    3.1    5.4    9.1   11.8   11.7   11.8   10.5    7.5    5.0    5.6    2.85   5.87  11.76   7.65    7.20
1989    5.7    3.2    3.8    4.2    8.9   10.5   13.7   11.8   10.0    8.1    4.7    1.9    4.87   5.64  12.03   7.62    7.25
1990    3.7    3.4    5.2    5.5    9.4   10.6   13.0   12.8    9.5    8.2    4.3    3.1    3.02   6.75  12.13   7.33    7.43
1991    1.9    1.1    5.3    5.6    8.5    9.0   14.2   13.5   10.5    7.3    4.6    4.3    2.03   6.46  12.27   7.46    7.19
